id;cp;lat;lon;nom;origin;exp
90102;90200;47.74333;6.84500;Vescemont;fr;0
90103;90300;47.66833;6.89389;Vétrigne;fr;0
90104;90400;47.60778;6.91639;Vézelois;fr;0
90105;90100;47.45500;6.99139;Villars-le-Sec;fr;0
91001;91150;48.34639;2.16667;Abbéville-la-Rivière;fr;0
91016;91670;48.31028;1.99833;Angerville;fr;0
91017;91470;48.59278;2.06528;Angervilliers;fr;0
91021;91290;48.59028;2.24778;Arpajon;fr;0
91022;91690;48.34222;2.16111;Arrancourt;fr;0
91027;91200;48.70861;2.38917;Athis-Mons;fr;0
91035;91410;48.45056;1.95667;Authon-la-Plaine;fr;0
91037;91830;48.52889;2.49306;Auvernaux;fr;0
91038;91580;48.49250;2.21917;Auvers-Saint-Georges;fr;0
91041;91630;48.56222;2.24806;Avrainville;fr;0
91044;91160;48.67528;2.29639;Ballainvilliers;fr;0
91045;91610;48.52556;2.38556;Ballancourt-sur-Essonne;fr;0
91047;91590;48.49222;2.35972;Baulne;fr;0
91064;91570;48.75556;2.21500;Bièvres;fr;0
91067;91150;48.31361;2.25778;Blandy;fr;0
91069;91720;48.33556;2.37167;Boigneville;fr;0
91075;91150;48.37000;2.23444;Bois-Herpin;fr;0
91079;91690;48.37472;2.15472;Boissy-la-Rivière;fr;0
91080;91590;48.47167;2.28417;Boissy-le-Cutté;fr;0
91081;91870;48.47722;2.09028;Boissy-le-Sec;fr;0
91085;91790;48.55611;2.20944;Boissy-sous-Saint-Yon;fr;0
91086;91070;48.61333;2.38056;Bondoufle;fr;0
91093;91470;48.67861;2.04833;Boullay-les-Troux;fr;0
91095;91850;48.52000;2.29750;Bouray-sur-Juine;fr;0
91097;91800;48.69083;2.53250;Boussy-Saint-Antoine;fr;0
91098;91150;48.45250;2.05556;Boutervilliers;fr;0
91099;91820;48.43583;2.37750;Boutigny-sur-Essonne;fr;0
91100;91880;48.43139;2.26944;Bouville;fr;0
91103;91220;48.60944;2.30778;Brétigny-sur-Orge;fr;0
91105;91650;48.56611;2.17139;Breuillet;fr;0
91106;91650;48.55944;2.15500;Breux-Jouy;fr;0
91109;91150;48.45750;2.13917;Brières-les-Scellés;fr;0
91111;91640;48.62444;2.12389;Briis-sous-Forges;fr;0
91112;91150;48.31694;2.27917;Brouy;fr;0
91114;91800;48.69806;2.50333;Brunoy;fr;0
91115;91680;48.59278;2.19194;Bruyères-le-Châtel;fr;0
91121;91720;48.36111;2.38833;Buno-Bonnevaux;fr;0
91122;91440;48.69667;2.16139;Bures-sur-Yvette;fr;0
91129;91590;48.47694;2.32806;Cerny;fr;0
91130;91780;48.42694;2.06611;Chalo-Saint-Mars;fr;0
91131;91740;48.38500;2.02194;Chalou-Moulineux;fr;0
91132;91730;48.51556;2.21639;Chamarande;fr;0
91135;91750;48.51528;2.44667;Champcueil;fr;0
91136;91160;48.70861;2.27444;Champlan;fr;0
91137;91150;48.34333;2.31917;Champmotteux;fr;0
91145;91410;48.46750;1.93167;Chatignonville;fr;0
91148;91580;48.50417;2.16889;Chauffour-lès-Étréchy;fr;0
91156;91630;48.55000;2.26806;Cheptainville;fr;0
91159;91750;48.53139;2.44333;Chevannes;fr;0
91161;91380;48.70528;2.31611;Chilly-Mazarin;fr;0
91174;91100;48.61028;2.47472;Corbeil-Essonnes;fr;0
91175;91410;48.49889;1.96111;Corbreuse;fr;0
91179;91830;48.56583;2.48611;Le Coudray-Montceaux;fr;0
91180;91490;48.43972;2.47472;Courances;fr;0
91184;91720;48.41806;2.37778;Courdimanche-sur-Essonne;fr;0
91186;91680;48.59222;2.14472;Courson-Monteloup;fr;0
91191;91560;48.71472;2.46111;Crosne;fr;0
91195;91490;48.45250;2.47667;Dannemois;fr;0
91198;91590;48.45806;2.32056;D'Huison-Longueville;fr;0
91200;91410;48.52889;2.01083;Dourdan;fr;0
91201;91210;48.68611;2.40944;Draveil;fr;0
91204;91540;48.57222;2.41111;Écharcon;fr;0
91207;91520;48.58056;2.22389;Égly;fr;0
91215;91860;48.69306;2.51583;Épinay-sous-Sénart;fr;0
91216;91360;48.67389;2.32722;Épinay-sur-Orge;fr;0
91223;91150;48.43500;2.16222;Étampes;fr;0
91225;91450;48.63583;2.47278;Étiolles;fr;0
91226;91580;48.49306;2.19111;Étréchy;fr;0
91228;91000;48.63389;2.44417;Évry-Courcouronnes;fr;0
91232;91590;48.48278;2.34861;La Ferté-Alais;fr;0
91235;91700;48.62944;2.36139;Fleury-Mérogis;fr;0
91240;91690;48.35583;2.15500;Fontaine-la-Rivière;fr;0
91243;91640;48.61972;2.15556;Fontenay-lès-Briis;fr;0
91244;91540;48.54722;2.39917;Fontenay-le-Vicomte;fr;0
91247;91410;48.47861;2.04194;La Forêt-le-Roi;fr;0
91248;91150;48.38472;2.23056;La Forêt-Sainte-Croix;fr;0
